vessel_id,vessel_name,vessel_type,vessel_age,gross_tonnage,engine_type,flag_state,operator_company,last_inspection_date,compliance_status,policy_id,previous_premium,past_claims_count,total_claim_amount,claim_reason,last_claim_date,policy_coverage,timestamp,latitude,longitude,speed_knots,course_degrees,destination,port_of_departure,next_port,region,piracy_risk,war_zone_risk,historical_piracy_incidents,historical_collision_incidents,marine_traffic_density,weather_condition,wave_height_m,wind_speed_knots,sea_temperature_C,storm_risk_score,crew_experience_avg_years,safety_incidents_last_5yrs,maintenance_frequency,emergency_response_time,insurance_premium_pred,risk_category
VSL-1000,Ship_1,Fishing,15,45000.00,Diesel,Panama,Company_A,2023-05-15,True,POL-1000,120000.00,3,50000.00,Collision,2022-08-10,300000.00,2023-10-26 10:30:00,35.6895,139.6917,0.0,0,Port_Tokyo,Port_Tokyo,Port_Tokyo,Pacific,0.05,0.10,5,8,70,Clear,1.2,15.0,20.0,0.1,10.0,2,4.0,30.0,125000.00,Medium
VSL-1001,Ship_2,Container,8,60000.00,Hybrid,Singapore,Company_B,2023-06-20,True,POL-1001,150000.00,1,20000.00,Theft,2021-12-05,400000.00,2023-10-26 10:35:00,1.3521,103.8198,14.0,200,Port_Singapore,Port_Shanghai,Port_Singapore,Indian,0.02,0.05,2,3,80,Cloudy,0.8,10.0,25.0,0.05,12.0,1,5.0,25.0,155000.00,Low
VSL-1002,Ship_3,Tanker,20,80000.00,Electric,USA,Company_C,2023-04-10,False,POL-1002,200000.00,4,100000.00,Fire,2023-01-15,500000.00,2023-10-26 10:40:00,40.7128,-74.0060,10.0,150,Port_New_York,Port_Houston,Port_New_York,Atlantic,0.10,0.20,10,12,60,Rain,2.5,20.0,18.0,0.2,15.0,3,6.0,20.0,210000.00,High
VSL-1003,Ship_4,Cargo,12,55000.00,Diesel,China,Company_D,2023-07-25,True,POL-1003,180000.00,2,30000.00,Weather,2022-05-20,350000.00,2023-10-26 10:45:00,22.3964,114.1095,11.0,220,Port_Hong_Kong,Port_Shenzhen,Port_Hong_Kong,Asian,0.03,0.15,3,5,75,Storm,3.0,25.0,22.0,0.3,11.0,2,4.5,22.0,185000.00,Medium
VSL-1004,Ship_5,Fishing,25,30000.00,Diesel,Japan,Company_E,2023-03-12,False,POL-1004,90000.00,5,80000.00,Collision,2023-09-01,200000.00,2023-10-26 10:50:00,35.6895,139.6917,9.0,250,Port_Yokohama,Port_Osaka,Port_Yokohama,Pacific,0.08,0.12,8,10,65,Fog,1.5,18.0,19.0,0.15,9.0,4,3.5,35.0,95000.00,High
VSL-1005,Ship_6,Container,10,70000.00,Hybrid,Germany,Company_F,2023-08-05,True,POL-1005,220000.00,1,15000.00,None,2021-11-10,450000.00,2023-10-26 10:55:00,52.5200,13.4050,13.0,190,Port_Hamburg,Port_Rotterdam,Port_Hamburg,European,0.01,0.08,1,2,85,Clear,0.5,12.0,16.0,0.07,14.0,1,6.0,18.0,225000.00,Low
VSL-1006,Ship_7,Tanker,18,85000.00,Electric,UK,Company_G,2023-09-18,False,POL-1006,250000.00,3,60000.00,Fire,2022-07-22,550000.00,2023-10-26 11:00:00,51.5074,-0.1278,8.0,170,Port_London,Port_Southampton,Port_London,Atlantic,0.12,0.25,12,15,55,Rain,2.0,22.0,17.0,0.25,13.0,3,5.5,24.0,260000.00,High
VSL-1007,Ship_8,Cargo,22,50000.00,Diesel,South Korea,Company_H,2023-02-28,True,POL-1007,160000.00,2,25000.00,Theft,2022-03-15,300000.00,2023-10-26 11:05:00,37.5665,126.9780,10.5,210,Port_Busan,Port_Incheon,Port_Busan,Asian,0.04,0.18,4,6,70,Cloudy,1.0,14.0,21.0,0.12,10.0,2,4.0,28.0,165000.00,Medium
VSL-1008,Ship_9,Fishing,30,35000.00,Diesel,Russia,Company_I,2023-01-15,False,POL-1008,80000.00,6,90000.00,Collision,2023-08-05,180000.00,2023-10-26 11:10:00,55.7558,37.6173,7.0,240,Port_St_Petersburg,Port_Murmansk,Port_St_Petersburg,Arctic,0.15,0.30,15,20,50,Snow,4.0,30.0,5.0,0.35,8.0,5,3.0,40.0,85000.00,High
VSL-1009,Ship_10,Container,5,65000.00,Hybrid,France,Company_J,2023-10-10,True,POL-1009,210000.00,0,0.00,None,,500000.00,2023-10-26 11:15:00,48.8566,2.3522,14.5,200,Port_Marseille,Port_Le_Havre,Port_Marseille,European,0.02,0.10,2,4,90,Clear,0.7,10.0,15.0,0.08,16.0,0,7.0,15.0,215000.00,Low
VSL-1010,Ship_11,Tanker,17,90000.00,Diesel,USA,Company_K,2023-07-01,True,POL-1010,230000.00,2,40000.00,Fire,2022-09-12,600000.00,2023-10-26 11:20:00,34.0522,-118.2437,9.5,160,Port_Los_Angeles,Port_Long_Beach,Port_Los_Angeles,Pacific,0.07,0.18,7,9,65,Clear,1.8,16.0,19.0,0.12,12.0,2,5.0,22.0,240000.00,Medium
VSL-1011,Ship_12,Cargo,14,48000.00,Electric,China,Company_L,2023-06-05,False,POL-1011,140000.00,3,55000.00,Weather,2023-03-20,320000.00,2023-10-26 11:25:00,31.2304,121.4737,11.0,230,Port_Shanghai,Port_Ningbo,Port_Shanghai,Asian,0.06,0.22,6,7,72,Rain,2.2,18.0,22.0,0.18,11.0,3,4.5,26.0,145000.00,Medium
VSL-1012,Ship_13,Fishing,28,32000.00,Diesel,Japan,Company_M,2023-04-22,True,POL-1012,95000.00,4,70000.00,Collision,2023-07-15,250000.00,2023-10-26 11:30:00,35.6895,139.6917,8.0,260,Port_Nagoya,Port_Kobe,Port_Nagoya,Pacific,0.09,0.14,9,11,60,Fog,1.6,17.0,18.0,0.14,10.0,4,3.8,32.0,100000.00,High
VSL-1013,Ship_14,Container,9,68000.00,Hybrid,Germany,Company_N,2023-09-30,True,POL-1013,200000.00,1,10000.00,None,2021-10-05,480000.00,2023-10-26 11:35:00,52.5200,13.4050,12.0,190,Port_Bremen,Port_Bremerhaven,Port_Bremen,European,0.03,0.09,3,4,88,Clear,0.6,11.0,16.0,0.06,15.0,1,6.5,17.0,205000.00,Low
VSL-1014,Ship_15,Tanker,19,87000.00,Electric,UK,Company_O,2023-08-12,False,POL-1014,240000.00,3,65000.00,Fire,2022-11-18,580000.00,2023-10-26 11:40:00,51.5074,-0.1278,7.5,165,Port_Liverpool,Port_Felixstowe,Port_Liverpool,Atlantic,0.11,0.24,11,14,58,Rain,2.3,21.0,17.5,0.22,14.0,3,5.2,23.0,250000.00,High
VSL-1015,Ship_16,Cargo,21,52000.00,Diesel,South Korea,Company_P,2023-05-20,True,POL-1015,170000.00,2,30000.00,Theft,2022-04-25,330000.00,2023-10-26 11:45:00,37.5665,126.9780,10.0,215,Port_Incheon,Port_Pohang,Port_Incheon,Asian,0.05,0.20,5,6,71,Cloudy,1.1,15.0,20.0,0.15,11.0,2,4.2,27.0,175000.00,Medium
VSL-1016,Ship_17,Fishing,27,33000.00,Diesel,Russia,Company_Q,2023-03-18,False,POL-1016,85000.00,5,85000.00,Collision,2023-06-10,190000.00,2023-10-26 11:50:00,55.7558,37.6173,6.5,245,Port_Vladivostok,Port_Nakhodka,Port_Vladivostok,Arctic,0.16,0.32,16,21,52,Snow,4.2,31.0,4.5,0.37,9.0,5,3.2,38.0,90000.00,High
VSL-1017,Ship_18,Container,6,67000.00,Hybrid,France,Company_R,2023-10-05,True,POL-1017,215000.00,0,0.00,None,,510000.00,2023-10-26 11:55:00,48.8566,2.3522,13.5,195,Port_Dunkirk,Port_Calais,Port_Dunkirk,European,0.02,0.11,2,5,89,Clear,0.8,10.5,15.5,0.09,16.5,0,7.2,16.0,220000.00,Low
VSL-1018,Ship_19,Tanker,16,88000.00,Diesel,USA,Company_S,2023-07-10,True,POL-1018,235000.00,2,42000.00,Fire,2022-10-05,610000.00,2023-10-26 12:00:00,34.0522,-118.2437,9.0,155,Port_San_Francisco,Port_Oakland,Port_San_Francisco,Pacific,0.08,0.19,8,10,64,Clear,1.7,15.5,18.5,0.13,12.5,2,5.1,21.0,245000.00,Medium
VSL-1019,Ship_20,Cargo,13,49000.00,Electric,China,Company_T,2023-06-15,False,POL-1019,145000.00,3,60000.00,Weather,2023-04-10,330000.00,2023-10-26 12:05:00,31.2304,121.4737,10.5,225,Port_Tianjin,Port_Qingdao,Port_Tianjin,Asian,0.07,0.23,7,8,73,Rain,2.4,19.0,21.5,0.19,11.5,3,4.6,25.0,150000.00,Medium
VSL-1020,Ship_21,Fishing,26,31000.00,Diesel,Japan,Company_U,2023-04-25,True,POL-1020,90000.00,4,75000.00,Collision,2023-08-20,260000.00,2023-10-26 12:10:00,35.6895,139.6917,7.5,255,Port_Fukuoka,Port_Hiroshima,Port_Fukuoka,Pacific,0.10,0.15,10,12,62,Fog,1.7,16.5,17.5,0.16,10.5,4,3.9,33.0,95000.00,High
VSL-1021,Ship_22,Container,8,69000.00,Hybrid,Germany,Company_V,2023-10-01,True,POL-1021,205000.00,1,12000.00,None,2021-11-15,490000.00,2023-10-26 12:15:00,52.5200,13.4050,11.5,185,Port_Kiel,Port_Rostock,Port_Kiel,European,0.04,0.10,4,5,87,Clear,0.7,11.5,16.5,0.07,15.5,1,6.7,18.0,210000.00,Low
VSL-1022,Ship_23,Tanker,18,86000.00,Electric,UK,Company_W,2023-08-15,False,POL-1022,245000.00,3,70000.00,Fire,2022-12-20,590000.00,2023-10-26 12:20:00,51.5074,-0.1278,7.0,160,Port_Bristol,Port_Cardiff,Port_Bristol,Atlantic,0.13,0.26,13,16,57,Rain,2.5,22.5,18.0,0.24,14.5,3,5.3,24.5,255000.00,High
VSL-1023,Ship_24,Cargo,20,53000.00,Diesel,South Korea,Company_X,2023-05-25,True,POL-1023,175000.00,2,35000.00,Theft,2022-05-30,340000.00,2023-10-26 12:25:00,37.5665,126.9780,10.2,220,Port_Ulsan,Port_Jeju,Port_Ulsan,Asian,0.06,0.21,6,7,72,Cloudy,1.2,16.0,20.5,0.16,11.2,2,4.3,26.5,180000.00,Medium
VSL-1024,Ship_25,Fishing,29,34000.00,Diesel,Russia,Company_Y,2023-03-22,False,POL-1024,87000.00,5,88000.00,Collision,2023-07-05,200000.00,2023-10-26 12:30:00,55.7558,37.6173,6.0,250,Port_Arkhangelsk,Port_Severodvinsk,Port_Arkhangelsk,Arctic,0.17,0.33,17,22,51,Snow,4.5,32.0,4.0,0.38,9.5,5,3.3,37.0,92000.00,High
VSL-1025,Ship_26,Container,7,66000.00,Hybrid,France,Company_Z,2023-10-08,True,POL-1025,220000.00,0,0.00,None,,520000.00,2023-10-26 12:35:00,48.8566,2.3522,13.0,190,Port_Nantes,Port_Bordeaux,Port_Nantes,European,0.03,0.12,3,6,88,Clear,0.9,11.0,16.0,0.10,16.0,0,7.5,17.0,225000.00,Low
VSL-1026,Ship_27,Tanker,15,89000.00,Diesel,USA,Company_AA,2023-07-05,True,POL-1026,230000.00,2,45000.00,Fire,2022-10-10,620000.00,2023-10-26 12:40:00,34.0522,-118.2437,8.5,150,Port_San_Diego,Port_Long_Beach,Port_San_Diego,Pacific,0.09,0.20,9,11,63,Clear,1.9,16.5,19.5,0.14,12.0,2,5.2,22.5,240000.00,Medium
VSL-1027,Ship_28,Cargo,14,50000.00,Electric,China,Company_AB,2023-06-10,False,POL-1027,150000.00,3,65000.00,Weather,2023-04-15,340000.00,2023-10-26 12:45:00,31.2304,121.4737,11.5,230,Port_Nanjing,Port_Wuhan,Port_Nanjing,Asian,0.08,0.24,8,9,74,Rain,2.6,20.0,22.5,0.20,11.5,3,4.7,26.0,155000.00,Medium
VSL-1028,Ship_29,Fishing,27,32000.00,Diesel,Japan,Company_AC,2023-04-20,True,POL-1028,95000.00,4,78000.00,Collision,2023-08-25,270000.00,2023-10-26 12:50:00,35.6895,139.6917,8.5,260,Port_Sapporo,Port_Hakodate,Port_Sapporo,Pacific,0.11,0.16,11,13,63,Fog,1.8,17.5,18.5,0.17,10.5,4,4.0,34.0,100000.00,High
VSL-1029,Ship_30,Container,9,70000.00,Hybrid,Germany,Company_AD,2023-10-03,True,POL-1029,210000.00,1,13000.00,None,2021-11-20,500000.00,2023-10-26 12:55:00,52.5200,13.4050,12.5,185,Port_Hannover,Port_Duisburg,Port_Hannover,European,0.05,0.11,5,6,89,Clear,0.8,12.0,17.0,0.08,15.5,1,6.8,18.5,215000.00,Low
VSL-1030,Ship_31,Tanker,19,87000.00,Electric,UK,Company_AE,2023-08-10,False,POL-1030,245000.00,3,72000.00,Fire,2022-12-25,600000.00,2023-10-26 13:00:00,51.5074,-0.1278,7.5,165,Port_Newcastle,Port_Hull,Port_Newcastle,Atlantic,0.14,0.27,14,17,58,Rain,2.7,23.0,18.5,0.25,14.5,3,5.4,25.0,260000.00,High
VSL-1031,Ship_32,Cargo,21,54000.00,Diesel,South Korea,Company_AF,2023-05-15,True,POL-1031,180000.00,2,38000.00,Theft,2022-06-05,350000.00,2023-10-26 13:05:00,37.5665,126.9780,10.5,220,Port_Daegu,Port_Gwangyang,Port_Daegu,Asian,0.07,0.22,7,8,73,Cloudy,1.3,17.0,21.0,0.17,11.5,2,4.4,27.5,185000.00,Medium
VSL-1032,Ship_33,Fishing,28,33000.00,Diesel,Russia,Company_AG,2023-03-15,False,POL-1032,88000.00,5,90000.00,Collision,2023-07-10,210000.00,2023-10-26 13:10:00,55.7558,37.6173,6.5,250,Port_Novorossiysk,Port_Sochi,Port_Novorossiysk,Arctic,0.18,0.34,18,23,52,Snow,4.7,33.0,4.5,0.39,9.5,5,3.4,38.5,93000.00,High
VSL-1033,Ship_34,Container,6,68000.00,Hybrid,France,Company_AH,2023-10-06,True,POL-1033,225000.00,0,0.00,None,,530000.00,2023-10-26 13:15:00,48.8566,2.3522,13.5,190,Port_Toulon,Port_Nice,Port_Toulon,European,0.04,0.13,4,7,90,Clear,1.0,12.5,17.5,0.11,16.5,0,7.7,18.0,230000.00,Low
VSL-1034,Ship_35,Tanker,16,90000.00,Diesel,USA,Company_AI,2023-07-08,True,POL-1034,240000.00,2,48000.00,Fire,2022-10-15,630000.00,2023-10-26 13:20:00,34.0522,-118.2437,9.0,155,Port_Seattle,Port_Tacoma,Port_Seattle,Pacific,0.10,0.21,10,12,65,Clear,2.0,17.0,20.0,0.15,12.5,2,5.3,23.0,250000.00,Medium
VSL-1035,Ship_36,Cargo,14,51000.00,Electric,China,Company_AJ,2023-06-12,False,POL-1035,155000.00,3,70000.00,Weather,2023-04-20,360000.00,2023-10-26 13:25:00,31.2304,121.4737,12.0,235,Port_Hangzhou,Port_Ningbo,Port_Hangzhou,Asian,0.09,0.25,9,10,75,Rain,2.8,21.0,23.0,0.21,12.0,3,4.8,27.0,160000.00,Medium
VSL-1036,Ship_37,Fishing,27,34000.00,Diesel,Japan,Company_AK,2023-04-18,True,POL-1036,96000.00,4,80000.00,Collision,2023-08-30,280000.00,2023-10-26 13:30:00,35.6895,139.6917,9.0,265,Port_Nagasaki,Port_Kagoshima,Port_Nagasaki,Pacific,0.12,0.17,12,14,64,Fog,1.9,18.0,19.0,0.18,11.0,4,4.1,35.0,101000.00,High
VSL-1037,Ship_38,Container,10,71000.00,Hybrid,Germany,Company_AL,2023-10-04,True,POL-1037,215000.00,1,14000.00,None,2021-11-25,510000.00,2023-10-26 13:35:00,52.5200,13.4050,13.0,180,Port_Frankfurt,Port_Stuttgart,Port_Frankfurt,European,0.06,0.12,6,7,91,Clear,0.9,13.0,18.0,0.09,16.0,1,7.0,19.0,220000.00,Low
VSL-1038,Ship_39,Tanker,20,88000.00,Electric,UK,Company_AM,2023-08-08,False,POL-1038,250000.00,3,75000.00,Fire,2022-12-30,610000.00,2023-10-26 13:40:00,51.5074,-0.1278,8.0,170,Port_Glasgow,Port_Edinburgh,Port_Glasgow,Atlantic,0.15,0.28,15,18,59,Rain,2.9,24.0,19.0,0.26,15.0,3,5.5,26.0,265000.00,High
VSL-1039,Ship_40,Cargo,22,55000.00,Diesel,South Korea,Company_AN,2023-05-10,True,POL-1039,185000.00,2,40000.00,Theft,2022-06-10,370000.00,2023-10-26 13:45:00,37.5665,126.9780,11.0,225,Port_Pusan,Port_Incheon,Port_Pusan,Asian,0.08,0.23,8,9,74,Cloudy,1.4,18.0,22.0,0.18,12.0,2,4.5,28.0,190000.00,Medium
VSL-1040,Ship_41,Fishing,29,35000.00,Diesel,Russia,Company_AO,2023-03-10,False,POL-1040,89000.00,5,92000.00,Collision,2023-07-15,220000.00,2023-10-26 13:50:00,55.7558,37.6173,7.0,255,Port_Kaliningrad,Port_Baltic,Port_Kaliningrad,Arctic,0.19,0.35,19,24,53,Snow,4.9,34.0,5.0,0.40,10.0,5,3.5,39.0,94000.00,High
VSL-1041,Ship_42,Container,7,69000.00,Hybrid,France,Company_AP,2023-10-07,True,POL-1041,230000.00,0,0.00,None,,540000.00,2023-10-26 13:55:00,48.8566,2.3522,14.0,185,Port_Lyon,Port_Marseille,Port_Lyon,European,0.05,0.14,5,8,92,Clear,1.1,13.5,18.5,0.12,17.0,0,7.8,19.5,235000.00,Low
VSL-1042,Ship_43,Tanker,17,91000.00,Diesel,USA,Company_AQ,2023-07-03,True,POL-1042,245000.00,2,50000.00,Fire,2022-10-20,640000.00,2023-10-26 14:00:00,34.0522,-118.2437,9.5,160,Port_Portland,Port_Vancouver,Port_Portland,Pacific,0.11,0.22,11,13,66,Clear,2.1,18.0,21.0,0.16,13.0,2,5.4,24.0,255000.00,Medium
VSL-1043,Ship_44,Cargo,15,52000.00,Electric,China,Company_AR,2023-06-08,False,POL-1043,160000.00,3,75000.00,Weather,2023-04-25,380000.00,2023-10-26 14:05:00,31.2304,121.4737,12.5,240,Port_Suzhou,Port_Wuxi,Port_Suzhou,Asian,0.10,0.26,10,11,76,Rain,3.0,22.0,24.0,0.22,12.5,3,4.9,28.0,165000.00,Medium
VSL-1044,Ship_45,Fishing,28,36000.00,Diesel,Japan,Company_AS,2023-04-15,True,POL-1044,97000.00,4,82000.00,Collision,2023-09-05,290000.00,2023-10-26 14:10:00,35.6895,139.6917,9.5,270,Port_Kobe,Port_Osaka,Port_Kobe,Pacific,0.13,0.18,13,15,65,Fog,2.0,19.0,20.0,0.19,11.5,4,4.2,36.0,102000.00,High
VSL-1045,Ship_46,Container,11,72000.00,Hybrid,Germany,Company_AT,2023-10-02,True,POL-1045,220000.00,1,15000.00,None,2021-11-30,520000.00,2023-10-26 14:15:00,52.5200,13.4050,13.5,175,Port_Dresden,Port_Leipzig,Port_Dresden,European,0.07,0.13,7,8,93,Clear,1.0,14.0,19.0,0.10,16.5,1,7.2,20.0,225000.00,Low
VSL-1046,Ship_47,Tanker,21,89000.00,Electric,UK,Company_AU,2023-08-05,False,POL-1046,255000.00,3,78000.00,Fire,2023-01-05,620000.00,2023-10-26 14:20:00,51.5074,-0.1278,8.5,175,Port_Belfast,Port_Dublin,Port_Belfast,Atlantic,0.16,0.29,16,19,60,Rain,3.1,25.0,20.0,0.27,15.5,3,5.6,27.0,270000.00,High
VSL-1047,Ship_48,Cargo,23,56000.00,Diesel,South Korea,Company_AV,2023-05-05,True,POL-1047,190000.00,2,42000.00,Theft,2022-06-15,390000.00,2023-10-26 14:25:00,37.5665,126.9780,11.5,230,Port_Incheon,Port_Pohang,Port_Incheon,Asian,0.09,0.24,9,10,75,Cloudy,1.5,19.0,23.0,0.19,12.5,2,4.6,29.0,195000.00,Medium
VSL-1048,Ship_49,Fishing,30,37000.00,Diesel,Russia,Company_AW,2023-03-05,False,POL-1048,90000.00,5,95000.00,Collision,2023-07-20,230000.00,2023-10-26 14:30:00,55.7558,37.6173,7.5,260,Port_Murmansk,Port_Arkhangelsk,Port_Murmansk,Arctic,0.20,0.36,20,25,54,Snow,5.1,35.0,5.5,0.41,10.5,5,3.6,40.0,95000.00,High
VSL-1049,Ship_50,Container,8,70000.00,Hybrid,France,Company_AX,2023-10-09,True,POL-1049,235000.00,0,0.00,None,,550000.00,2023-10-26 14:35:00,48.8566,2.3522,14.5,180,Port_Paris,Port_Lille,Port_Paris,European,0.06,0.15,6,9,94,Clear,1.2,14.5,19.5,0.13,17.5,0,7.9,20.5,240000.00,Low